lifted_target,nl,block,participant,target_name
0,297,2,participant_1,stick
0,144,3,participant_1,stick
0,235,4,participant_1,stick
0,110,4,participant_1,stick
1,-175,1,participant_1,ball
1,-97,1,participant_1,ball
1,-203,1,participant_1,ball
1,-93,1,participant_1,ball
1,-160,2,participant_1,ball
1,-189,2,participant_1,ball
1,-141,2,participant_1,ball
1,-221,2,participant_1,ball
1,-313,3,participant_1,ball
1,-191,3,participant_1,ball
1,-155,3,participant_1,ball
1,-237,3,participant_1,ball
1,-155,4,participant_1,ball
1,-173,4,participant_1,ball
1,-282,4,participant_1,ball
1,-125,4,participant_1,ball
2,-575,1,participant_1,screw
2,-425,2,participant_1,screw
2,-315,2,participant_1,screw
2,-379,3,participant_1,screw
2,-566,3,participant_1,screw
2,-444,3,participant_1,screw
2,-427,3,participant_1,screw
2,-476,4,participant_1,screw
2,-394,4,participant_1,screw
2,-314,4,participant_1,screw
2,-457,4,participant_1,screw
3,-347,1,participant_1,box
3,-223,1,participant_1,box
3,-271,1,participant_1,box
3,-143,1,participant_1,box
3,-376,2,participant_1,box
3,-190,2,participant_1,box
3,-284,2,participant_1,box
3,-377,2,participant_1,box
3,1143,3,participant_1,box
3,994,3,participant_1,box
3,-330,4,participant_1,box
3,-330,4,participant_1,box
3,-283,4,participant_1,box
3,-411,4,participant_1,box
4,-380,1,participant_1,knife
4,-379,1,participant_1,knife
4,-539,1,participant_1,knife
4,-330,1,participant_1,knife
4,-408,2,participant_1,knife
4,-588,2,participant_1,knife
4,-530,2,participant_1,knife
4,-363,2,participant_1,knife
4,-187,3,participant_1,knife
4,-208,3,participant_1,knife
4,-255,3,participant_1,knife
4,-426,4,participant_1,knife
4,-282,4,participant_1,knife
4,-408,4,participant_1,knife
4,-391,4,participant_1,knife
5,-375,1,participant_1,glass
5,-331,1,participant_1,glass
5,-408,1,participant_1,glass
5,-395,1,participant_1,glass
5,-414,2,participant_1,glass
5,-536,2,participant_1,glass
5,-543,2,participant_1,glass
5,-379,2,participant_1,glass
5,-813,3,participant_1,glass
5,-458,3,participant_1,glass
5,-509,3,participant_1,glass
5,-571,3,participant_1,glass
5,-378,4,participant_1,glass
5,-602,4,participant_1,glass
5,-316,4,participant_1,glass
5,-330,4,participant_1,glass
6,-142,2,participant_1,assembly
7,-299,1,participant_1,disk
7,-112,1,participant_1,disk
7,-144,1,participant_1,disk
7,-189,1,participant_1,disk
7,-395,2,participant_1,disk
7,-125,2,participant_1,disk
7,-297,2,participant_1,disk
7,-311,2,participant_1,disk
7,-313,3,participant_1,disk
7,-424,3,participant_1,disk
7,-313,3,participant_1,disk
7,-299,3,participant_1,disk
7,-222,4,participant_1,disk
7,-93,4,participant_1,disk
7,-112,4,participant_1,disk
7,-93,4,participant_1,disk
0,-173,1,participant_2,stick
0,-93,1,participant_2,stick
0,-33,1,participant_2,stick
0,30,1,participant_2,stick
0,-158,2,participant_2,stick
0,-111,2,participant_2,stick
0,17,2,participant_2,stick
0,-92,2,participant_2,stick
0,-15,3,participant_2,stick
0,-49,3,participant_2,stick
0,-77,3,participant_2,stick
0,-48,3,participant_2,stick
0,-15,4,participant_2,stick
0,48,4,participant_2,stick
0,-95,4,participant_2,stick
1,-284,1,participant_2,ball
1,-266,1,participant_2,ball
1,-350,1,participant_2,ball
1,-127,1,participant_2,ball
1,-254,2,participant_2,ball
1,-297,2,participant_2,ball
1,-95,2,participant_2,ball
1,-249,2,participant_2,ball
1,330,3,participant_2,ball
1,-187,3,participant_2,ball
1,-62,3,participant_2,ball
1,-126,3,participant_2,ball
1,-264,4,participant_2,ball
1,-251,4,participant_2,ball
1,-349,4,participant_2,ball
1,16,4,participant_2,ball
2,-79,1,participant_2,screw
2,-107,1,participant_2,screw
2,-16,1,participant_2,screw
2,-47,2,participant_2,screw
2,0,2,participant_2,screw
2,-248,2,participant_2,screw
2,-764,2,participant_2,screw
2,-96,3,participant_2,screw
2,-48,3,participant_2,screw
2,364,3,participant_2,screw
2,554,4,participant_2,screw
2,-222,4,participant_2,screw
2,-126,4,participant_2,screw
2,-204,4,participant_2,screw
3,-545,1,participant_2,box
3,-235,1,participant_2,box
3,348,1,participant_2,box
3,-295,1,participant_2,box
3,-376,2,participant_2,box
3,-187,2,participant_2,box
3,-1059,2,participant_2,box
3,-254,3,participant_2,box
3,-126,3,participant_2,box
3,-302,3,participant_2,box
3,-188,3,participant_2,box
3,-63,4,participant_2,box
3,-112,4,participant_2,box
3,-139,4,participant_2,box
3,-476,4,participant_2,box
4,-405,1,participant_2,knife
4,-392,1,participant_2,knife
4,-356,1,participant_2,knife
4,-923,1,participant_2,knife
4,-600,2,participant_2,knife
4,-660,2,participant_2,knife
4,-727,2,participant_2,knife
4,-523,2,participant_2,knife
4,-445,3,participant_2,knife
4,-393,3,participant_2,knife
4,-484,3,participant_2,knife
4,-422,4,participant_2,knife
4,-296,4,participant_2,knife
4,-407,4,participant_2,knife
4,-434,4,participant_2,knife
5,-406,1,participant_2,glass
5,-399,1,participant_2,glass
5,-403,1,participant_2,glass
5,-313,1,participant_2,glass
5,-313,2,participant_2,glass
5,-471,2,participant_2,glass
5,-409,2,participant_2,glass
5,-594,2,participant_2,glass
5,-660,3,participant_2,glass
5,-473,3,participant_2,glass
5,-674,3,participant_2,glass
5,-388,4,participant_2,glass
5,-456,4,participant_2,glass
5,-363,4,participant_2,glass
5,-451,4,participant_2,glass
6,61,2,participant_2,assembly
6,-748,2,participant_2,assembly
6,-535,2,participant_2,assembly
6,-702,2,participant_2,assembly
6,202,3,participant_2,assembly
6,-937,4,participant_2,assembly
6,-942,4,participant_2,assembly
7,-592,1,participant_2,disk
7,-1343,1,participant_2,disk
7,-704,1,participant_2,disk
7,-410,1,participant_2,disk
7,-860,2,participant_2,disk
7,-856,2,participant_2,disk
7,-475,2,participant_2,disk
7,-1092,2,participant_2,disk
7,-750,3,participant_2,disk
7,-93,3,participant_2,disk
7,3230,3,participant_2,disk
7,-507,3,participant_2,disk
7,-549,4,participant_2,disk
7,-730,4,participant_2,disk
7,-800,4,participant_2,disk
7,-638,4,participant_2,disk
0,-158,1,participant_3,stick
0,-96,1,participant_3,stick
0,-16,1,participant_3,stick
0,79,1,participant_3,stick
0,-95,2,participant_3,stick
0,0,2,participant_3,stick
0,92,2,participant_3,stick
0,-62,2,participant_3,stick
0,46,3,participant_3,stick
0,64,3,participant_3,stick
0,31,3,participant_3,stick
0,-96,3,participant_3,stick
0,48,4,participant_3,stick
0,266,4,participant_3,stick
0,78,4,participant_3,stick
0,64,4,participant_3,stick
1,-282,1,participant_3,ball
1,-298,1,participant_3,ball
1,-331,1,participant_3,ball
1,-456,1,participant_3,ball
1,-283,2,participant_3,ball
1,-536,2,participant_3,ball
1,141,2,participant_3,ball
1,-223,2,participant_3,ball
1,-301,3,participant_3,ball
1,-219,3,participant_3,ball
1,-64,3,participant_3,ball
1,-364,3,participant_3,ball
1,-381,4,participant_3,ball
2,-870,1,participant_3,screw
2,-681,1,participant_3,screw
2,-456,1,participant_3,screw
2,-674,1,participant_3,screw
2,-744,2,participant_3,screw
2,-821,2,participant_3,screw
2,-706,2,participant_3,screw
2,-660,2,participant_3,screw
2,-884,3,participant_3,screw
2,-728,3,participant_3,screw
2,1624,3,participant_3,screw
2,-597,3,participant_3,screw
2,-1131,4,participant_3,screw
2,-894,4,participant_3,screw
2,-849,4,participant_3,screw
2,-982,4,participant_3,screw
3,-930,1,participant_3,box
3,-1115,1,participant_3,box
3,-1046,1,participant_3,box
3,-840,1,participant_3,box
3,-900,2,participant_3,box
3,-927,2,participant_3,box
3,-1041,2,participant_3,box
3,-491,2,participant_3,box
3,740,3,participant_3,box
3,-947,3,participant_3,box
3,-732,3,participant_3,box
3,-894,3,participant_3,box
3,-378,4,participant_3,box
3,-271,4,participant_3,box
3,-435,4,participant_3,box
3,-350,4,participant_3,box
4,-694,1,participant_3,knife
4,-459,1,participant_3,knife
4,-109,1,participant_3,knife
4,-455,1,participant_3,knife
4,-598,2,participant_3,knife
4,-574,2,participant_3,knife
4,-550,2,participant_3,knife
4,-474,2,participant_3,knife
4,-599,3,participant_3,knife
4,-662,3,participant_3,knife
4,-438,3,participant_3,knife
4,-438,3,participant_3,knife
4,-513,4,participant_3,knife
4,-677,4,participant_3,knife
4,-682,4,participant_3,knife
4,-551,4,participant_3,knife
5,-333,1,participant_3,glass
5,-300,1,participant_3,glass
5,-315,1,participant_3,glass
5,-333,1,participant_3,glass
5,-190,2,participant_3,glass
5,-255,2,participant_3,glass
5,-158,2,participant_3,glass
5,-189,2,participant_3,glass
5,-254,3,participant_3,glass
5,648,3,participant_3,glass
5,141,3,participant_3,glass
5,46,3,participant_3,glass
5,-269,4,participant_3,glass
5,-144,4,participant_3,glass
5,-299,4,participant_3,glass
5,-240,4,participant_3,glass
6,-667,1,participant_3,assembly
6,31,1,participant_3,assembly
6,-394,1,participant_3,assembly
6,-458,1,participant_3,assembly
6,3371,2,participant_3,assembly
6,-430,2,participant_3,assembly
6,-267,2,participant_3,assembly
6,-299,2,participant_3,assembly
6,-64,3,participant_3,assembly
6,-598,3,participant_3,assembly
6,-454,3,participant_3,assembly
6,-778,3,participant_3,assembly
6,-813,4,participant_3,assembly
6,-582,4,participant_3,assembly
6,-599,4,participant_3,assembly
6,-64,4,participant_3,assembly
7,-933,1,participant_3,disk
7,-535,1,participant_3,disk
7,-739,1,participant_3,disk
7,-583,1,participant_3,disk
7,-771,2,participant_3,disk
7,-617,2,participant_3,disk
7,-217,2,participant_3,disk
7,-31,2,participant_3,disk
7,-941,3,participant_3,disk
7,110,3,participant_3,disk
7,600,3,participant_3,disk
7,-490,3,participant_3,disk
7,-603,4,participant_3,disk
7,-380,4,participant_3,disk
7,-730,4,participant_3,disk
0,109,1,participant_4,stick
0,-171,1,participant_4,stick
0,0,1,participant_4,stick
0,-96,1,participant_4,stick
0,0,2,participant_4,stick
0,-32,2,participant_4,stick
0,48,2,participant_4,stick
0,-173,3,participant_4,stick
0,-63,3,participant_4,stick
0,-48,3,participant_4,stick
0,157,3,participant_4,stick
0,204,4,participant_4,stick
0,0,4,participant_4,stick
0,425,4,participant_4,stick
1,159,1,participant_4,ball
1,413,1,participant_4,ball
1,-144,1,participant_4,ball
1,-95,1,participant_4,ball
1,46,2,participant_4,ball
1,-32,2,participant_4,ball
1,-31,2,participant_4,ball
1,-63,2,participant_4,ball
1,32,3,participant_4,ball
1,189,3,participant_4,ball
1,-32,3,participant_4,ball
1,46,3,participant_4,ball
1,264,4,participant_4,ball
1,-94,4,participant_4,ball
1,78,4,participant_4,ball
1,-64,4,participant_4,ball
2,-922,1,participant_4,screw
2,-1332,1,participant_4,screw
2,-1064,1,participant_4,screw
2,-1084,1,participant_4,screw
2,-1325,2,participant_4,screw
2,-833,2,participant_4,screw
2,-833,2,participant_4,screw
2,-1087,2,participant_4,screw
2,-757,3,participant_4,screw
2,-774,3,participant_4,screw
2,-837,3,participant_4,screw
2,-739,3,participant_4,screw
2,-491,4,participant_4,screw
2,-881,4,participant_4,screw
2,-159,4,participant_4,screw
2,-459,4,participant_4,screw
3,-531,1,participant_4,box
3,-1042,1,participant_4,box
3,-472,1,participant_4,box
3,-582,1,participant_4,box
3,-460,2,participant_4,box
3,-821,2,participant_4,box
3,-793,2,participant_4,box
3,-142,2,participant_4,box
3,-1131,3,participant_4,box
3,-749,3,participant_4,box
3,-925,3,participant_4,box
3,-808,3,participant_4,box
3,32,4,participant_4,box
3,0,4,participant_4,box
3,-862,4,participant_4,box
3,-506,4,participant_4,box
4,-850,1,participant_4,knife
4,-862,1,participant_4,knife
4,-950,1,participant_4,knife
4,-918,1,participant_4,knife
4,-316,2,participant_4,knife
4,-193,2,participant_4,knife
4,-303,2,participant_4,knife
4,-314,2,participant_4,knife
4,-424,3,participant_4,knife
4,-380,3,participant_4,knife
4,-441,3,participant_4,knife
4,-234,4,participant_4,knife
4,-285,4,participant_4,knife
4,-396,4,participant_4,knife
4,-363,4,participant_4,knife
5,-571,1,participant_4,glass
5,-365,1,participant_4,glass
5,-269,1,participant_4,glass
5,-424,1,participant_4,glass
5,-653,2,participant_4,glass
5,-318,2,participant_4,glass
5,-557,2,participant_4,glass
5,617,3,participant_4,glass
5,-234,3,participant_4,glass
5,-1036,3,participant_4,glass
5,-660,3,participant_4,glass
5,-393,4,participant_4,glass
5,-285,4,participant_4,glass
5,-315,4,participant_4,glass
5,-330,4,participant_4,glass
6,-629,2,participant_4,assembly
6,-533,2,participant_4,assembly
6,207,2,participant_4,assembly
6,47,2,participant_4,assembly
6,-437,3,participant_4,assembly
6,-943,3,participant_4,assembly
6,365,3,participant_4,assembly
6,-1057,3,participant_4,assembly
6,-899,4,participant_4,assembly
6,-972,4,participant_4,assembly
6,-457,4,participant_4,assembly
6,-47,4,participant_4,assembly
7,-988,1,participant_4,disk
7,1840,1,participant_4,disk
7,-16,1,participant_4,disk
7,-620,1,participant_4,disk
7,-1208,2,participant_4,disk
7,-1092,2,participant_4,disk
7,-941,2,participant_4,disk
7,-1338,2,participant_4,disk
7,-977,3,participant_4,disk
7,-1482,3,participant_4,disk
7,-917,3,participant_4,disk
7,-884,3,participant_4,disk
7,-819,4,participant_4,disk
7,-782,4,participant_4,disk
7,-1511,4,participant_4,disk
0,-139,1,participant_5,stick
0,-172,1,participant_5,stick
0,-171,1,participant_5,stick
0,-124,1,participant_5,stick
0,-158,2,participant_5,stick
0,-173,2,participant_5,stick
0,-202,2,participant_5,stick
0,-189,2,participant_5,stick
0,-111,3,participant_5,stick
0,-171,3,participant_5,stick
0,-297,3,participant_5,stick
0,-217,3,participant_5,stick
0,-234,4,participant_5,stick
0,-219,4,participant_5,stick
0,-251,4,participant_5,stick
0,-358,4,participant_5,stick
1,-424,1,participant_5,ball
1,-345,1,participant_5,ball
1,-358,1,participant_5,ball
1,-158,1,participant_5,ball
1,-285,2,participant_5,ball
1,-361,2,participant_5,ball
1,-362,2,participant_5,ball
1,-217,2,participant_5,ball
1,-362,3,participant_5,ball
1,-346,3,participant_5,ball
1,-205,3,participant_5,ball
1,-329,3,participant_5,ball
1,-286,4,participant_5,ball
1,-126,4,participant_5,ball
1,-112,4,participant_5,ball
1,-329,4,participant_5,ball
2,-417,2,participant_5,screw
2,-844,2,participant_5,screw
2,-1015,2,participant_5,screw
2,-709,4,participant_5,screw
3,-706,1,participant_5,box
3,-467,1,participant_5,box
3,-516,1,participant_5,box
3,-589,1,participant_5,box
3,-1208,2,participant_5,box
3,-1039,2,participant_5,box
3,-1045,2,participant_5,box
3,-1092,2,participant_5,box
3,-848,3,participant_5,box
3,-1063,3,participant_5,box
3,-773,3,participant_5,box
3,-893,3,participant_5,box
3,-416,4,participant_5,box
3,-641,4,participant_5,box
3,-374,4,participant_5,box
3,-458,4,participant_5,box
4,-678,1,participant_5,knife
4,-721,1,participant_5,knife
4,-509,1,participant_5,knife
4,-556,1,participant_5,knife
4,-395,2,participant_5,knife
4,-556,2,participant_5,knife
4,-457,2,participant_5,knife
4,-466,2,participant_5,knife
4,-666,3,participant_5,knife
4,-502,3,participant_5,knife
4,-442,3,participant_5,knife
4,-594,3,participant_5,knife
4,-975,4,participant_5,knife
4,-395,4,participant_5,knife
4,-441,4,participant_5,knife
4,-543,4,participant_5,knife
5,-171,1,participant_5,glass
5,-314,1,participant_5,glass
5,-15,1,participant_5,glass
5,-205,1,participant_5,glass
5,-78,2,participant_5,glass
5,-47,2,participant_5,glass
5,-77,2,participant_5,glass
5,-156,2,participant_5,glass
5,512,3,participant_5,glass
5,-188,3,participant_5,glass
5,-142,3,participant_5,glass
5,-156,3,participant_5,glass
5,-447,4,participant_5,glass
5,-188,4,participant_5,glass
5,-360,4,participant_5,glass
5,-200,4,participant_5,glass
6,14,1,participant_5,assembly
6,-613,1,participant_5,assembly
6,-874,1,participant_5,assembly
6,-343,2,participant_5,assembly
6,-999,2,participant_5,assembly
6,-690,2,participant_5,assembly
6,-549,2,participant_5,assembly
6,-348,3,participant_5,assembly
6,-581,3,participant_5,assembly
6,-535,3,participant_5,assembly
6,-361,4,participant_5,assembly
6,-983,4,participant_5,assembly
6,-850,4,participant_5,assembly
6,-968,4,participant_5,assembly
7,-1111,1,participant_5,disk
7,-807,1,participant_5,disk
7,-1027,1,participant_5,disk
7,-660,1,participant_5,disk
7,-1141,2,participant_5,disk
7,-1137,2,participant_5,disk
7,-1003,2,participant_5,disk
7,-718,2,participant_5,disk
7,-1028,3,participant_5,disk
7,-676,3,participant_5,disk
7,-552,3,participant_5,disk
7,-62,3,participant_5,disk
7,-1154,4,participant_5,disk
7,-959,4,participant_5,disk
7,-896,4,participant_5,disk
7,-855,4,participant_5,disk
0,297,2,participant_1,stick
0,144,3,participant_1,stick
0,235,4,participant_1,stick
0,110,4,participant_1,stick
1,-175,1,participant_1,ball
1,-97,1,participant_1,ball
1,-203,1,participant_1,ball
1,-93,1,participant_1,ball
1,-160,2,participant_1,ball
1,-189,2,participant_1,ball
1,-141,2,participant_1,ball
1,-221,2,participant_1,ball
1,-313,3,participant_1,ball
1,-191,3,participant_1,ball
1,-155,3,participant_1,ball
1,-237,3,participant_1,ball
1,-155,4,participant_1,ball
1,-173,4,participant_1,ball
1,-282,4,participant_1,ball
1,-125,4,participant_1,ball
2,-575,1,participant_1,screw
2,-425,2,participant_1,screw
2,-315,2,participant_1,screw
2,-379,3,participant_1,screw
2,-566,3,participant_1,screw
2,-444,3,participant_1,screw
2,-427,3,participant_1,screw
2,-476,4,participant_1,screw
2,-394,4,participant_1,screw
2,-314,4,participant_1,screw
2,-457,4,participant_1,screw
3,-347,1,participant_1,box
3,-223,1,participant_1,box
3,-271,1,participant_1,box
3,-143,1,participant_1,box
3,-376,2,participant_1,box
3,-190,2,participant_1,box
3,-284,2,participant_1,box
3,-377,2,participant_1,box
3,1143,3,participant_1,box
3,994,3,participant_1,box
3,-330,4,participant_1,box
3,-330,4,participant_1,box
3,-283,4,participant_1,box
3,-411,4,participant_1,box
4,-380,1,participant_1,knife
4,-379,1,participant_1,knife
4,-539,1,participant_1,knife
4,-330,1,participant_1,knife
4,-408,2,participant_1,knife
4,-588,2,participant_1,knife
4,-530,2,participant_1,knife
4,-363,2,participant_1,knife
4,-187,3,participant_1,knife
4,-208,3,participant_1,knife
4,-255,3,participant_1,knife
4,-426,4,participant_1,knife
4,-282,4,participant_1,knife
4,-408,4,participant_1,knife
4,-391,4,participant_1,knife
5,-375,1,participant_1,glass
5,-331,1,participant_1,glass
5,-408,1,participant_1,glass
5,-395,1,participant_1,glass
5,-414,2,participant_1,glass
5,-536,2,participant_1,glass
5,-543,2,participant_1,glass
5,-379,2,participant_1,glass
5,-813,3,participant_1,glass
5,-458,3,participant_1,glass
5,-509,3,participant_1,glass
5,-571,3,participant_1,glass
5,-378,4,participant_1,glass
5,-602,4,participant_1,glass
5,-316,4,participant_1,glass
5,-330,4,participant_1,glass
6,-142,2,participant_1,assembly
7,-299,1,participant_1,disk
7,-112,1,participant_1,disk
7,-144,1,participant_1,disk
7,-189,1,participant_1,disk
7,-395,2,participant_1,disk
7,-125,2,participant_1,disk
7,-297,2,participant_1,disk
7,-311,2,participant_1,disk
